original_path,output_path,speaker,class,original_format,original_duration,original_sample_rate,original_channels,processing_status,failure_reason
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_165834652.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_165834652.wav,SPK001,proxima,.wav,0.9600,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170206538.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170206538.wav,SPK001,proxima,.wav,1.5600,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170218048.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170218048.wav,SPK001,proxima,.wav,1.5600,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170234702.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170234702.wav,SPK001,proxima,.wav,1.2800,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170258320.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170258320.wav,SPK001,proxima,.wav,1.9600,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170303448.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170303448.wav,SPK001,proxima,.wav,0.9600,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170308942.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170308942.wav,SPK001,proxima,.wav,1.4400,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170316488.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170316488.wav,SPK001,proxima,.wav,1.9200,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170354227.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170354227.wav,SPK001,proxima,.wav,1.9200,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170400350.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170400350.wav,SPK001,proxima,.wav,1.8400,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170410928.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170410928.wav,SPK001,proxima,.wav,1.1600,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170425586.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170425586.wav,SPK001,proxima,.wav,1.0000,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170431419.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170431419.wav,SPK001,proxima,.wav,1.4000,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170456641.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170456641.wav,SPK001,proxima,.wav,1.6400,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170511230.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170511230.wav,SPK001,proxima,.wav,1.3600,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170527575.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170527575.wav,SPK001,proxima,.wav,2.0000,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170609444.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170609444.wav,SPK001,proxima,.wav,1.6400,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170618965.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170618965.wav,SPK001,proxima,.wav,1.0000,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170624901.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170624901.wav,SPK001,proxima,.wav,1.0800,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170632936.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170632936.wav,SPK001,proxima,.wav,1.7200,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170636423.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170636423.wav,SPK001,proxima,.wav,1.5200,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170642425.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170642425.wav,SPK001,proxima,.wav,1.8800,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170703414.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170703414.wav,SPK001,proxima,.wav,1.4400,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170707113.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170707113.wav,SPK001,proxima,.wav,1.4400,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170710325.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170710325.wav,SPK001,proxima,.wav,1.4400,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170715924.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170715924.wav,SPK001,proxima,.wav,1.1600,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170725488.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170725488.wav,SPK001,proxima,.wav,1.1200,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170800447.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170800447.wav,SPK001,proxima,.wav,1.5200,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170836115.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170836115.wav,SPK001,proxima,.wav,2.1600,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170901630.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170901630.wav,SPK001,proxima,.wav,1.8800,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\proxima\2026-09-05_170905329.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\proxima\2026-09-05_170905329.wav,SPK001,proxima,.wav,1.4000,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\unknown\2026-09-05_202110986.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\unknown\2026-09-05_202110986.wav,SPK001,unknown,.wav,1.3600,48000,1,SUCCESS,
c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATASET\SPK001\unknown\2026-09-05_202115151.wav,c:\Users\Dell\Desktop\KWS PROJECT\PROXIMA_DATA_2\SPK001\unknown\2026-09-05_202115151.wav,SPK001,unknown,.wav,1.3200,48000,1,SUCCESS,
