epoch,train_loss,train_accuracy,val_loss,val_accuracy,lr
1,0.7616,0.6224,0.8699,0.4356,0.001000
2,0.6427,0.7516,0.9074,0.4356,0.001000
3,0.5807,0.8112,0.8192,0.4444,0.001000
4,0.5286,0.8496,0.6099,0.7333,0.001000
5,0.4811,0.8736,0.4455,0.9022,0.001000
6,0.4581,0.8944,0.6014,0.7956,0.001000
7,0.4356,0.9012,0.4091,0.9200,0.001000
8,0.4108,0.9220,0.3820,0.9467,0.001000
9,0.3957,0.9352,0.4142,0.9422,0.001000
10,0.3849,0.9336,0.3665,0.9467,0.001000
11,0.3869,0.9312,0.4103,0.9333,0.001000
12,0.3695,0.9404,0.3446,0.9511,0.001000
13,0.3553,0.9528,0.4435,0.8756,0.001000
14,0.3808,0.9348,0.3563,0.9556,0.001000
15,0.3563,0.9500,0.3362,0.9733,0.001000
16,0.3461,0.9584,0.3383,0.9689,0.001000
17,0.3433,0.9572,0.3192,0.9822,0.001000
18,0.3332,0.9632,0.3241,0.9511,0.001000
19,0.3383,0.9592,0.3554,0.9467,0.001000
20,0.3333,0.9672,0.3582,0.9556,0.001000
21,0.3351,0.9608,0.3129,0.9689,0.001000
22,0.3364,0.9612,0.3363,0.9511,0.001000
23,0.3227,0.9724,0.3290,0.9556,0.001000
24,0.3292,0.9664,0.3342,0.9556,0.001000
25,0.3233,0.9696,0.3008,0.9822,0.001000
26,0.3165,0.9708,0.3707,0.9511,0.001000
27,0.3208,0.9696,0.3060,0.9644,0.001000
28,0.3209,0.9712,0.3240,0.9600,0.001000
29,0.3183,0.9728,0.3028,0.9689,0.001000
30,0.3106,0.9752,0.2989,0.9778,0.001000
31,0.3097,0.9740,0.4174,0.8800,0.001000
32,0.3027,0.9832,0.3285,0.9733,0.001000
33,0.3100,0.9720,0.3082,0.9778,0.001000
34,0.3147,0.9716,0.2966,0.9778,0.001000
35,0.3044,0.9772,0.3078,0.9733,0.001000
36,0.3016,0.9768,0.2917,0.9822,0.001000
37,0.3015,0.9792,0.3111,0.9867,0.001000
38,0.2969,0.9792,0.2824,0.9911,0.001000
39,0.3036,0.9756,0.3422,0.9422,0.001000
40,0.3012,0.9768,0.3360,0.9644,0.001000
41,0.2903,0.9820,0.3078,0.9556,0.001000
42,0.2938,0.9812,0.2833,0.9867,0.001000
43,0.2896,0.9856,0.2740,0.9911,0.001000
44,0.2921,0.9816,0.2821,0.9822,0.001000
45,0.2887,0.9824,0.3115,0.9733,0.001000
